city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,timeStamp
gappal,ph,"gappal, ph",Gappal,PH,16.84,121.82,77.84,74,0,3.51,77.84,
tasiilaq,gl,"tasiilaq, gl",Tasiilaq,GL,65.61,-37.64,23,67,80,14.99,23,
okha,ru,"okha, ru",Okha,RU,53.59,142.95,19.16,95,88,14.58,19.16,
goderich,ca,"goderich, ca",Goderich,CA,43.74,-81.71,25.25,89,44,15.99,28,
tailai,cn,"tailai, cn",Tailai,CN,46.39,123.41,31.13,49,20,8.88,31.13,
sorvag,fo,"sorvag, fo",,,,,,,,,,
harper,lr,"harper, lr",Harper,LR,4.38,-7.71,84.86,96,88,5.75,84.86,
takoradi,gh,"takoradi, gh",Takoradi,GH,4.89,-1.75,81.08,100,0,5.19,81.08,
ilulissat,gl,"ilulissat, gl",Ilulissat,GL,69.22,-51.1,15.8,66,56,10.29,15.8,
qingdao,cn,"qingdao, cn",Qingdao,CN,36.09,120.35,41,75,0,2.24,41,
eldikan,ru,"eldikan, ru",,,,,,,,,,
noumea,nc,"noumea, nc",Noumea,NC,-22.28,166.46,84.2,62,20,3.36,84.2,
fairbanks,us,"fairbanks, us",Fairbanks,US,64.84,-147.72,50.16,60,1,5.64,55,
seoul,kr,"seoul, kr",Seoul,KR,37.57,126.98,35.89,49,1,3.36,41,
sri aman,my,"sri aman, my",Sri Aman,MY,1.24,111.46,75.06,100,24,1.12,75.2,
yasothon,th,"yasothon, th",Yasothon,TH,15.8,104.15,73.4,88,32,4.7,73.4,
beloha,mg,"beloha, mg",Beloha,MG,-25.17,45.06,62.09,84,0,3.4,62.09,
chara,ru,"chara, ru",Chara,RU,56.9,118.26,7.28,66,0,1.72,7.28,
san patricio,mx,"san patricio, mx",San Patricio,MX,19.22,-104.7,82.4,69,5,11.41,82.4,
meulaboh,id,"meulaboh, id",Meulaboh,ID,4.14,96.13,79.91,100,76,4.74,79.91,
tommot,ru,"tommot, ru",Tommot,RU,58.97,126.27,19.07,81,48,3.18,19.07,
coihaique,cl,"coihaique, cl",Coihaique,CL,-45.58,-72.07,57.2,58,0,26.4,57.2,
san rafael,bo,"san rafael, bo",San Rafael,BO,-12.93,-64.87,89.6,66,20,2.73,89.6,
tabialan,ph,"tabialan, ph",,,,,,,,,,
gizo,sb,"gizo, sb",Gizo,SB,-8.1,156.84,84.77,100,92,10.33,84.77,
luganville,vu,"luganville, vu",Luganville,VU,-15.51,167.18,83.96,97,24,7.99,83.96,
la roda,es,"la roda, es",La Roda,ES,39.21,-2.16,45.64,93,75,5.82,48.2,
sinesti,ro,"sinesti, ro",Sinesti,RO,47.12,27.18,45.99,78,0,4.7,48.2,
molchanovo,ru,"molchanovo, ru",Molchanovo,RU,57.58,83.76,29.33,85,48,13.24,29.33,
cap malheureux,mu,"cap malheureux, mu",Cap Malheureux,MU,-19.98,57.61,76.03,83,75,1.12,77,
weligama,lk,"weligama, lk",Weligama,LK,5.97,80.42,76.85,100,0,4.74,76.85,
toliary,mg,"toliary, mg",,,,,,,,,,
sa kaeo,th,"sa kaeo, th",Sa Kaeo,TH,13.8,102.09,74.96,91,68,6.76,74.96,
kloulklubed,pw,"kloulklubed, pw",Kloulklubed,PW,7.04,134.26,82.4,78,90,10.29,82.4,
kangalassy,ru,"kangalassy, ru",Kangalassy,RU,62.35,129.97,5,77,0,2.62,5,
xingyi,cn,"xingyi, cn",Xingyi,CN,24.19,102.82,55.88,85,8,2.84,55.88,
nikolskoye,ru,"nikolskoye, ru",Nikolskoye,RU,59.7,30.79,32.41,82,75,8.95,33.8,
bargal,so,"bargal, so",,,,,,,,,,
kopyevo,ru,"kopyevo, ru",,,,,,,,,,
narsaq,gl,"narsaq, gl",Narsaq,GL,60.91,-46.05,15.8,47,0,6.93,15.8,
chojnice,pl,"chojnice, pl",Chojnice,PL,53.7,17.57,32.59,77,0,1.01,39,
broken hill,au,"broken hill, au",Broken Hill,AU,-31.97,141.45,55.4,71,24,8.05,55.4,
skibbereen,ie,"skibbereen, ie",Skibbereen,IE,51.55,-9.27,42.8,93,40,5.82,42.8,
berlevag,no,"berlevag, no",Berlevag,NO,70.86,29.09,30.5,100,64,25.21,30.5,
pennagaram,in,"pennagaram, in",Pennagaram,IN,12.13,77.9,66.23,79,0,2.73,66.23,
tabou,ci,"tabou, ci",Tabou,CI,4.42,-7.36,85.04,96,24,7.54,85.04,
say,ne,"say, ne",Say,NE,13.1,2.36,93.2,17,12,3.36,93.2,
saint-joseph,re,"saint-joseph, re",Saint-Joseph,RE,-21.37,55.62,74.1,69,75,6.93,78.8,
kisangani,cd,"kisangani, cd",Kisangani,CD,0.52,25.21,70.37,100,88,4.97,70.37,
belushya guba,ru,"belushya guba, ru",,,,,,,,,,
vestmannaeyjar,is,"vestmannaeyjar, is",Vestmannaeyjar,IS,63.44,-20.27,34.82,100,76,11.01,34.82,
mrirt,ma,"mrirt, ma",,,,,,,,,,
broome,au,"broome, au",Broome,AU,-17.97,122.23,80.6,88,0,2.24,80.6,
vreed en hoop,gy,"vreed en hoop, gy",,,,,,,,,,
lompoc,us,"lompoc, us",Lompoc,US,34.64,-120.46,76.08,46,1,16.11,80.01,
bereda,so,"bereda, so",,,,,,,,,,
santa isabel do rio negro,br,"santa isabel do rio negro, br",Santa Isabel do Rio Negro,BR,-0.41,-65.02,82.25,80,8,5.64,82.25,
tongliao,cn,"tongliao, cn",Tongliao,CN,43.61,122.27,27.8,69,0,6.87,27.8,
cercal,pt,"cercal, pt",Cercal,PT,37.8,-8.67,59,88,80,2.95,59,
fort beaufort,za,"fort beaufort, za",Fort Beaufort,ZA,-32.78,26.63,61.64,83,80,0.83,61.64,
pocatello,us,"pocatello, us",Pocatello,US,42.87,-112.44,48.69,34,40,10.29,51.8,
umea,se,"umea, se",Umea,SE,63.83,20.26,32,81,0,16.11,32,
zhezkazgan,kz,"zhezkazgan, kz",Zhezkazgan,KZ,47.8,67.71,40.31,94,92,17.72,40.31,
llanes,es,"llanes, es",Llanes,ES,43.42,-4.75,51.87,91,8,1.16,57,
ambilobe,mg,"ambilobe, mg",Ambilobe,MG,-13.19,49.05,73.34,98,88,2.95,73.34,
aden,ye,"aden, ye",Aden,YE,12.79,45.03,80.09,97,8,21.74,80.09,
suratgarh,in,"suratgarh, in",Suratgarh,IN,29.32,73.9,62.9,52,0,2.73,62.9,
nowy tomysl,pl,"nowy tomysl, pl",Nowy Tomysl,PL,52.32,16.13,33.39,80,0,1.12,36,
poum,nc,"poum, nc",Poum,NC,-20.23,164.02,79.1,100,68,2.17,79.1,
labuhan,id,"labuhan, id",Labuhan,ID,-2.54,115.51,77.21,88,8,2.39,77.21,
oktyabrskiy,ru,"oktyabrskiy, ru",Oktyabrskiy,RU,55.61,37.97,43.52,70,40,6.71,46.4,
yeletskiy,ru,"yeletskiy, ru",,,,,,,,,,
kailua,us,"kailua, us",Kailua,US,21.39,-157.74,79.57,65,40,9.17,80.6,
shirokiy,ru,"shirokiy, ru",Shirokiy,RU,53.87,39.17,35.18,86,36,11.45,35.18,
bemidji,us,"bemidji, us",Bemidji,US,47.48,-94.89,31.91,84,90,3.36,33.01,
meadow lake,ca,"meadow lake, ca",Meadow Lake,CA,54.13,-108.44,37.4,44,75,8.05,37.4,
liberal,us,"liberal, us",Liberal,US,37.04,-100.92,47.66,39,20,5.82,48.2,
grand gaube,mu,"grand gaube, mu",Grand Gaube,MU,-20.01,57.66,76.03,83,75,1.12,77,
ha tinh,vn,"ha tinh, vn",Ha Tinh,VN,18.33,105.9,75.23,100,92,9.33,75.23,
severo-kurilsk,ru,"severo-kurilsk, ru",Severo-Kurilsk,RU,50.68,156.12,29.69,99,68,2.95,29.69,
ingham,au,"ingham, au",Ingham,AU,-18.65,146.16,76.49,100,64,15.37,76.49,
chunoyar,ru,"chunoyar, ru",Chunoyar,RU,57.45,97.32,33.38,92,56,5.97,33.38,
muros,es,"muros, es",Muros,ES,42.77,-9.06,52.92,71,0,1.12,60.01,
tual,id,"tual, id",Tual,ID,-5.67,132.75,82.88,100,68,15.03,82.88,
comodoro rivadavia,ar,"comodoro rivadavia, ar",Comodoro Rivadavia,AR,-45.87,-67.48,69.8,40,0,4.7,69.8,
ushtobe,kz,"ushtobe, kz",Ushtobe,KZ,45.25,77.98,40.31,75,48,2.73,40.31,
beringovskiy,ru,"beringovskiy, ru",Beringovskiy,RU,63.05,179.32,32.57,96,88,15.03,32.57,
ferme-neuve,ca,"ferme-neuve, ca",Ferme-Neuve,CA,46.7,-75.45,24.74,69,92,9.22,24.74,
mandan,us,"mandan, us",Mandan,US,46.83,-100.89,38.21,69,90,13.87,39.99,
stonewall,ca,"stonewall, ca",Stonewall,CA,50.13,-97.33,37.49,59,75,12.75,39,
dolbeau,ca,"dolbeau, ca",,,,,,,,,,
otane,nz,"otane, nz",Otane,NZ,-39.89,176.62,71.01,71,92,13.69,71.01,
carutapera,br,"carutapera, br",Carutapera,BR,-1.2,-46.02,76.31,100,92,5.3,76.31,
alyangula,au,"alyangula, au",Alyangula,AU,-13.85,136.42,84.2,66,75,9.17,84.2,
talnakh,ru,"talnakh, ru",Talnakh,RU,69.49,88.39,28.7,90,92,14.81,28.7,
evensk,ru,"evensk, ru",Evensk,RU,61.92,159.24,29.51,90,80,21.3,29.51,
vardo,no,"vardo, no",Vardo,NO,70.37,31.11,26.6,79,40,24.16,26.6,
socorro,us,"socorro, us",Socorro,US,31.65,-106.3,61.38,21,1,14.99,63,
awjilah,ly,"awjilah, ly",Awjilah,LY,29.14,21.3,52.01,59,0,7.2,52.01,
north bend,us,"north bend, us",North Bend,US,43.41,-124.22,53.67,81,90,9.17,59,
katobu,id,"katobu, id",Katobu,ID,-4.94,122.53,81.71,99,56,4.18,81.71,
muisne,ec,"muisne, ec",Muisne,EC,0.61,-80.02,78.8,83,90,6.93,78.8,
samusu,ws,"samusu, ws",,,,,,,,,,
biak,id,"biak, id",Biak,ID,-0.91,122.88,76.49,100,92,2.17,76.49,
praia,cv,"praia, cv",Praia,CV,14.92,-23.51,69.8,68,20,16.11,69.8,
armidale,au,"armidale, au",Armidale,AU,-30.51,151.67,55,65,12,5.99,55,
kulhudhuffushi,mv,"kulhudhuffushi, mv",Kulhudhuffushi,MV,6.62,73.07,84.14,100,0,2.17,84.14,
bouar,cf,"bouar, cf",Bouar,CF,5.94,15.59,72.17,75,0,2.84,72.17,
jasper,us,"jasper, us",Jasper,US,33.83,-87.28,50.34,47,32,7.65,54,
weihe,cn,"weihe, cn",Weihe,CN,32.99,105.33,44,81,76,1.95,44,
magadan,ru,"magadan, ru",Magadan,RU,59.56,150.8,27.26,93,56,13.02,27.26,
eureka,us,"eureka, us",Eureka,US,40.8,-124.16,57.65,76,1,8.05,61,
ahipara,nz,"ahipara, nz",Ahipara,NZ,-35.17,173.16,70.55,93,92,12.24,70.55,
sur,om,"sur, om",Sur,OM,22.57,59.53,79.82,78,12,7.2,79.82,
alofi,nu,"alofi, nu",Alofi,NU,-19.06,-169.92,78.8,88,56,8.05,78.8,
yushu,cn,"yushu, cn",Yushu,CN,44.84,126.53,31.31,54,32,6.42,31.31,
labuan,my,"labuan, my",Labuan,MY,5.33,115.2,80.64,74,75,8.05,82.4,
synya,ru,"synya, ru",Synya,RU,65.37,58.04,28.43,86,88,7.65,28.43,
palabuhanratu,id,"palabuhanratu, id",,,,,,,,,,
kanashevo,ru,"kanashevo, ru",Kanashevo,RU,55.21,62.07,30.65,80,0,13.42,30.99,
maldonado,uy,"maldonado, uy",Maldonado,UY,-34.91,-54.96,66.2,88,0,5.82,66.2,
atasu,kz,"atasu, kz",Atasu,KZ,48.68,71.64,44.63,96,80,8.21,44.63,
saint-augustin,ca,"saint-augustin, ca",Saint-Augustin,CA,45.63,-73.98,33.19,70,90,4.7,35.01,
emerald,au,"emerald, au",Emerald,AU,-23.53,148.16,69.37,43,0,14.99,69.8,
tecoanapa,mx,"tecoanapa, mx",Tecoanapa,MX,16.99,-99.26,82.4,65,5,12.75,82.4,
sao joao da barra,br,"sao joao da barra, br",Sao Joao da Barra,BR,-21.64,-41.05,77,73,0,2.24,77,
helena,us,"helena, us",Helena,US,46.59,-112.04,45.23,52,75,4.7,46.99,
erenhot,cn,"erenhot, cn",Erenhot,CN,43.65,111.97,27.44,46,12,6.53,27.44,
gravdal,no,"gravdal, no",Gravdal,NO,59.79,5.78,32.2,86,0,4.7,37,
san ramon,pe,"san ramon, pe",San Ramon,PE,-14.26,-75.65,70.91,63,20,6.2,70.91,
caravelas,br,"caravelas, br",Caravelas,BR,-17.73,-39.27,81.08,100,0,15.03,81.08,
promakhoi,gr,"promakhoi, gr",,,,,,,,,,
pouebo,nc,"pouebo, nc",Pouebo,NC,-20.4,164.57,82.52,77,20,4.07,82.52,
somanda,tz,"somanda, tz",Somanda,TZ,-3.37,33.95,64.61,92,64,4.74,64.61,
tucuma,br,"tucuma, br",,,,,,,,,,
sao francisco de assis,br,"sao francisco de assis, br",,,,,,,,,,
tammisaari,fi,"tammisaari, fi",,,,,,,,,,
bardiyah,ly,"bardiyah, ly",Bardiyah,LY,31.76,25.09,58.94,87,68,23.87,58.94,
havre-saint-pierre,ca,"havre-saint-pierre, ca",Havre-Saint-Pierre,CA,50.23,-63.6,37.4,100,90,8.05,37.4,
san jeronimo,mx,"san jeronimo, mx",San Jeronimo,MX,29.37,-110.79,89.49,10,0,1.01,91.99,
butembo,cd,"butembo, cd",Butembo,CD,0.12,29.29,60.11,90,8,2.39,60.11,
amderma,ru,"amderma, ru",,,,,,,,,,
adelaide,au,"adelaide, au",Adelaide,AU,-34.93,138.6,64.56,51,75,10.29,69.01,
san mateo del mar,mx,"san mateo del mar, mx",San Mateo del Mar,MX,16.21,-94.98,83.06,81,12,8.32,83.06,
khormuj,ir,"khormuj, ir",,,,,,,,,,
margate,za,"margate, za",Margate,ZA,-30.86,30.37,74.87,91,0,13.8,74.87,
rantepao,id,"rantepao, id",Rantepao,ID,-2.97,119.9,70.28,97,20,2.84,70.28,
samalaeulu,ws,"samalaeulu, ws",,,,,,,,,,
ostrovnoy,ru,"ostrovnoy, ru",Ostrovnoy,RU,68.05,39.51,21.05,80,0,18.84,21.05,
shimoda,jp,"shimoda, jp",Shimoda,JP,34.7,138.93,51.69,53,40,10.29,55,
hualmay,pe,"hualmay, pe",Hualmay,PE,-11.1,-77.61,67.58,86,24,5.64,67.58,
paredon,mx,"paredon, mx",,,,,,,,,,
baykit,ru,"baykit, ru",Baykit,RU,61.68,96.39,32.39,93,92,9.78,32.39,
lahat,id,"lahat, id",Lahat,ID,-3.78,103.55,72.08,98,92,4.29,72.08,
pakokku,mm,"pakokku, mm",Pakokku,MM,21.33,95.09,66.05,90,0,2.73,66.05,
cayenne,gf,"cayenne, gf",Cayenne,GF,4.94,-52.33,78.8,78,76,3.36,78.8,
masterton,nz,"masterton, nz",Masterton,NZ,-40.95,175.66,63.48,86,56,16.93,64,
bria,cf,"bria, cf",Bria,CF,6.54,21.99,77.39,55,8,6.76,77.39,
san francisco,ar,"san francisco, ar",San Francisco,AR,-31.43,-62.08,79.05,78,92,1.01,80.01,
magaria,ne,"magaria, ne",Magaria,NE,13,8.91,76.67,21,0,12.01,76.67,
rolim de moura,br,"rolim de moura, br",,,,,,,,,,
springbok,za,"springbok, za",Springbok,ZA,-29.67,17.88,47.15,90,0,2.95,47.15,
indianola,us,"indianola, us",Indianola,US,40.24,-100.42,55.02,30,1,5.82,57,
mahibadhoo,mv,"mahibadhoo, mv",Mahibadhoo,MV,3.78,72.97,83.51,100,0,2.39,83.51,
hegang,cn,"hegang, cn",Hegang,CN,47.34,130.28,30.86,35,48,3.96,30.86,
zahesi,ge,"zahesi, ge",Zahesi,GE,41.83,44.76,37.4,100,90,3.36,37.4,
ciudad bolivar,ve,"ciudad bolivar, ve",Ciudad Bolivar,VE,8.12,-63.55,92.33,35,12,13.69,92.33,
sao felix do xingu,br,"sao felix do xingu, br",Sao Felix do Xingu,BR,-6.64,-51.99,76.13,93,8,2.39,76.13,
inhambane,mz,"inhambane, mz",Inhambane,MZ,-23.87,35.38,69.47,100,0,4.74,69.47,
lamu,ke,"lamu, ke",Lamu,KE,-2.27,40.9,80.6,83,1,4.63,80.6,
kokstad,za,"kokstad, za",Kokstad,ZA,-30.55,29.42,55.07,76,8,3.62,55.07,
constitucion,mx,"constitucion, mx",Constitucion,MX,23.99,-104.67,79.29,10,40,4.7,80.6,
el alto,pe,"el alto, pe",,,,,,,,,,
tsaotun,tw,"tsaotun, tw",,,,,,,,,,
nome,us,"nome, us",Nome,US,30.04,-94.42,52.47,54,40,10.29,53.6,
namibe,ao,"namibe, ao",Namibe,AO,-15.19,12.15,77.93,100,0,6.98,77.93,
lengshuijiang,cn,"lengshuijiang, cn",Lengshuijiang,CN,27.66,111.45,50.66,97,88,3.51,50.66,
ondorhaan,mn,"ondorhaan, mn",,,,,,,,,,
kieta,pg,"kieta, pg",Kieta,PG,-6.22,155.63,82.7,96,48,3.06,82.7,
gold coast,au,"gold coast, au",Gold Coast,AU,-28,153.41,74.43,56,76,9.17,77,
rawson,ar,"rawson, ar",Rawson,AR,-43.3,-65.11,65.42,31,8,5.19,65.42,
yongan,cn,"yongan, cn",Yongan,CN,39.7,113.69,28.43,48,12,2.39,28.43,
port moresby,pg,"port moresby, pg",Port Moresby,PG,-9.47,147.16,82.4,78,40,5.82,82.4,
weston,us,"weston, us",Weston,US,42.37,-71.3,42.69,81,90,9.17,46,
sakaiminato,jp,"sakaiminato, jp",Sakaiminato,JP,35.55,133.23,44.11,61,75,8.05,46.4,
diglur,in,"diglur, in",Diglur,IN,18.55,77.6,70.01,71,0,8.77,70.01,
kedrovyy,ru,"kedrovyy, ru",Kedrovyy,RU,56.17,91.82,42.8,70,0,8.95,42.8,
tucurui,br,"tucurui, br",Tucurui,BR,-3.77,-49.67,73.07,99,92,2.39,73.07,
paraiso,mx,"paraiso, mx",Paraiso,MX,24.01,-104.61,79.3,10,40,4.7,80.6,
morecambe,gb,"morecambe, gb",Morecambe,GB,54.07,-2.87,38.82,73,0,4,42.01,
atar,mr,"atar, mr",Atar,MR,20.52,-13.05,52.91,79,0,5.53,52.91,
lipin bor,ru,"lipin bor, ru",Lipin Bor,RU,60.26,37.97,22.49,80,8,9.33,22.49,
abeche,td,"abeche, td",Abeche,TD,13.83,20.83,76.13,19,0,12.8,76.13,
itoman,jp,"itoman, jp",Itoman,JP,26.12,127.67,61.09,59,75,20.8,62.6,
tabukiniberu,ki,"tabukiniberu, ki",,,,,,,,,,
tabarqah,tn,"tabarqah, tn",,,,,,,,,,
kudahuvadhoo,mv,"kudahuvadhoo, mv",Kudahuvadhoo,MV,2.67,72.89,83.51,100,0,3.96,83.51,
strezhevoy,ru,"strezhevoy, ru",Strezhevoy,RU,60.73,77.6,26.6,92,0,8.95,26.6,
usinsk,ru,"usinsk, ru",Usinsk,RU,66,57.56,26.9,86,64,10.67,26.9,
miandrivazo,mg,"miandrivazo, mg",Miandrivazo,MG,-19.53,45.46,64.88,88,0,1.39,64.88,
viareggio,it,"viareggio, it",Viareggio,IT,43.87,10.25,46.78,82,0,4.41,50,
yinchuan,cn,"yinchuan, cn",Yinchuan,CN,38.48,106.21,29.96,32,0,6.42,29.96,
dunedin,nz,"dunedin, nz",Dunedin,NZ,-45.87,170.5,62.81,46,0,16.26,62.81,
tazovskiy,ru,"tazovskiy, ru",Tazovskiy,RU,67.47,78.7,29.24,93,88,14.47,29.24,
uchana,in,"uchana, in",Uchana,IN,29.74,76.97,63.53,54,0,10.67,63.53,
kirn,de,"kirn, de",Kirn,DE,49.79,7.46,46,86,0,6.93,50,
talaya,ru,"talaya, ru",Talaya,RU,55.79,84.89,32,95,40,11.18,32,
silvan,tr,"silvan, tr",Silvan,TR,38.14,41.01,46.4,100,40,1.12,46.4,
rab,hr,"rab, hr",,,,,,,,,,
matagami,ca,"matagami, ca",Matagami,CA,49.76,-77.63,17.6,52,1,14.99,17.6,
xanxere,br,"xanxere, br",Xanxere,BR,-26.88,-52.4,73.4,83,0,2.73,73.4,
iberia,pe,"iberia, pe",Iberia,PE,-11.41,-69.49,78.38,92,12,1.72,78.38,
lexington,us,"lexington, us",Lexington,US,38.05,-84.5,38.84,44,20,10.29,41,
fukue,jp,"fukue, jp",Fukue,JP,35.03,136.69,48.02,70,20,17.22,54,
kapit,my,"kapit, my",Kapit,MY,2.02,112.94,75.23,95,36,2.73,75.23,
key biscayne,us,"key biscayne, us",Key Biscayne,US,25.69,-80.16,76.95,65,40,10.29,78.8,
batticaloa,lk,"batticaloa, lk",Batticaloa,LK,7.71,81.69,77.48,100,0,6.2,77.48,
saint-pierre,pm,"saint-pierre, pm",Saint-Pierre,PM,46.77,-56.17,33.31,100,90,6.93,33.8,
nantucket,us,"nantucket, us",Nantucket,US,41.28,-70.1,46.87,93,90,14.99,48,
atambua,id,"atambua, id",Atambua,ID,-9.11,124.89,80.45,100,0,2.17,80.45,
utraula,in,"utraula, in",Utraula,IN,27.32,82.42,61.28,67,0,8.21,61.28,
scarborough,tt,"scarborough, tt",Scarborough,TT,11.18,-60.73,78.8,74,20,11.41,78.8,
moindou,nc,"moindou, nc",Moindou,NC,-21.69,165.68,84.2,62,20,3.36,84.2,
susangerd,ir,"susangerd, ir",Susangerd,IR,31.56,48.19,75.2,57,90,16.11,75.2,
cozumel,mx,"cozumel, mx",,,,,,,,,,
kushiro,jp,"kushiro, jp",Kushiro,JP,43.11,144.15,32,56,75,4.7,32,
cave spring,us,"cave spring, us",Cave Spring,US,37.23,-80.01,42.96,48,75,12.75,50,
kamenskoye,ru,"kamenskoye, ru",,,,,,,,,,
marawi,sd,"marawi, sd",Marawi,SD,18.48,31.82,60.74,34,0,8.88,60.74,
makat,kz,"makat, kz",Makat,KZ,47.65,53.35,32.12,86,0,2.95,32.12,
aksu,cn,"aksu, cn",Aksu,CN,41.12,80.26,41.21,76,32,3.4,41.21,
laguna,br,"laguna, br",,,,,,,,,,
chuka,ke,"chuka, ke",Chuka,KE,-0.33,37.65,64.88,99,92,2.62,64.88,
belyy yar,ru,"belyy yar, ru",Belyy Yar,RU,53.6,91.39,33.8,78,0,4.47,33.8,
dunmore town,bs,"dunmore town, bs",Dunmore Town,BS,25.5,-76.65,74.78,100,24,2.73,74.78,
yar-sale,ru,"yar-sale, ru",Yar-Sale,RU,66.83,70.83,17.27,72,0,13.47,17.27,
porosozero,ru,"porosozero, ru",Porosozero,RU,62.72,32.71,22.94,79,0,6.2,22.94,
male,mv,"male, mv",Male,MV,4.17,73.51,80.6,74,20,3.18,80.6,
salekhard,ru,"salekhard, ru",Salekhard,RU,66.54,66.62,18.35,73,20,11.68,18.35,
juneau,us,"juneau, us",Juneau,US,58.3,-134.42,57.2,24,1,5.82,57.2,
makakilo city,us,"makakilo city, us",Makakilo City,US,21.35,-158.09,79.57,57,1,10.29,80.6,
yarmouth,ca,"yarmouth, ca",Yarmouth,CA,43.84,-66.12,50.29,100,90,19.46,55,
mookane,bw,"mookane, bw",Mookane,BW,-23.68,26.66,69.74,52,8,10.56,69.74,
lagoa,pt,"lagoa, pt",Lagoa,PT,37.14,-8.45,57.99,87,20,3.36,59,
mangrol,in,"mangrol, in",Mangrol,IN,25.33,76.51,62.27,40,0,3.18,62.27,
kosino,ru,"kosino, ru",Kosino,RU,58.41,51.28,34.64,94,92,15.26,34.64,
tabas,ir,"tabas, ir",Tabas,IR,33.6,56.92,69.8,28,24,4.7,69.8,
hobyo,so,"hobyo, so",Hobyo,SO,5.35,48.53,80.45,81,92,9.44,80.45,
bolobo,cd,"bolobo, cd",Bolobo,CD,-2.17,16.23,77.03,95,0,2.39,77.03,
omsukchan,ru,"omsukchan, ru",Omsukchan,RU,62.53,155.8,15.11,89,68,3.62,15.11,
umm lajj,sa,"umm lajj, sa",Umm Lajj,SA,25.02,37.27,63.71,96,20,10.78,63.71,
nguru,ng,"nguru, ng",Nguru,NG,12.88,10.45,77.84,22,0,11.01,77.84,
balasheyka,ru,"balasheyka, ru",Balasheyka,RU,53.28,48.09,35.9,91,68,12.24,35.9,
zabid,ye,"zabid, ye",Zabid,YE,14.2,44.5,41.84,75,0,1.16,41.84,
chinhoyi,zw,"chinhoyi, zw",Chinhoyi,ZW,-17.36,30.19,63.53,67,0,8.55,63.53,
presidencia roque saenz pena,ar,"presidencia roque saenz pena, ar",Presidencia Roque Saenz Pena,AR,-26.79,-60.44,81.26,72,24,8.43,81.26,
miri,my,"miri, my",Miri,MY,4.41,114.01,75.04,100,75,3.36,75.2,
wamba,cd,"wamba, cd",Wamba,CD,2.14,27.99,66.95,97,32,2.17,66.95,
tupik,ru,"tupik, ru",Tupik,RU,54.43,119.94,19.25,62,8,2.62,19.25,
yablonovo,ru,"yablonovo, ru",Yablonovo,RU,50.85,37.36,48.2,61,0,8.95,48.2,
vila franca do campo,pt,"vila franca do campo, pt",Vila Franca do Campo,PT,37.72,-25.43,55.4,82,40,14.99,55.4,
tekeli,kz,"tekeli, kz",Tekeli,KZ,44.86,78.76,36.71,74,48,3.18,36.71,
rayong,th,"rayong, th",Rayong,TH,12.68,101.28,80.76,83,20,4.7,82.99,
oussouye,sn,"oussouye, sn",Oussouye,SN,12.49,-16.54,74.17,57,0,2.24,78.8,
ocampo,mx,"ocampo, mx",Ocampo,MX,27.32,-102.4,56.06,44,0,6.53,56.06,
radchenko,ru,"radchenko, ru",Radchenko,RU,56.68,36.37,34.91,78,0,12.8,34.91,
paamiut,gl,"paamiut, gl",Paamiut,GL,61.99,-49.67,26.18,100,76,5.19,26.18,
shiyan,cn,"shiyan, cn",Shiyan,CN,32.65,110.78,44.27,76,12,1.95,44.27,
oranjemund,na,"oranjemund, na",Oranjemund,NA,-28.55,16.43,60.11,94,12,15.37,60.11,
calvinia,za,"calvinia, za",Calvinia,ZA,-31.47,19.78,44.45,86,0,4.63,44.45,
srednekolymsk,ru,"srednekolymsk, ru",Srednekolymsk,RU,67.46,153.71,16.46,77,0,3.18,16.46,
alberton,ca,"alberton, ca",Alberton,CA,46.81,-64.06,52,46,76,24,52,
rock springs,us,"rock springs, us",Rock Springs,US,41.59,-109.2,41,52,1,8.05,41,
oboyan,ru,"oboyan, ru",Oboyan,RU,51.21,36.28,44.44,61,0,8.95,48.2,
lianzhou,cn,"lianzhou, cn",Lianzhou,CN,24.79,112.38,51.92,98,92,2.62,51.92,
kirkwall,gb,"kirkwall, gb",Kirkwall,GB,58.98,-2.96,40.44,86,44,8.05,41,
kobylka,pl,"kobylka, pl",Kobylka,PL,52.34,21.2,36.73,64,0,6.93,41,
mecca,sa,"mecca, sa",Mecca,SA,21.43,39.83,58.04,46,0,5.19,58.04,
tungor,ru,"tungor, ru",Tungor,RU,53.39,142.95,19.16,95,88,14.58,19.16,
lufilufi,ws,"lufilufi, ws",Lufilufi,WS,-13.87,-171.6,86,79,20,3.36,86,
tarudant,ma,"tarudant, ma",,,,,,,,,,
deputatskiy,ru,"deputatskiy, ru",Deputatskiy,RU,69.3,139.9,13.31,83,12,3.85,13.31,
rudsar,ir,"rudsar, ir",Rudsar,IR,37.14,50.29,44.6,100,90,4.7,44.6,
pemangkat,id,"pemangkat, id",,,,,,,,,,
asau,tv,"asau, tv",,,,,,,,,,
seinajoki,fi,"seinajoki, fi",,,,,,,,,,
gamba,ga,"gamba, ga",Gamba,GA,-2.72,10.02,82.88,98,88,8.32,82.88,
nouadhibou,mr,"nouadhibou, mr",Nouadhibou,MR,20.93,-17.03,64.4,77,0,14.99,64.4,
cheney,us,"cheney, us",Cheney,US,47.49,-117.58,54.27,54,40,3.36,57.99,
sitka,us,"sitka, us",Sitka,US,37.17,-99.65,46.99,30,12,5.99,46.99,
